date,lon,lat,SPEI,region
2022-12-16,-15.75,23.75,-0.8075395,dakhla-oued_ed-dahab
2023-01-16,-15.75,23.75,-0.9940001,dakhla-oued_ed-dahab
2023-02-15,-15.75,23.75,0.046721477,dakhla-oued_ed-dahab
2023-03-16,-15.75,23.75,-0.9874511,dakhla-oued_ed-dahab
2023-04-16,-15.75,23.75,-2.109336,dakhla-oued_ed-dahab
2023-05-16,-15.75,23.75,-0.2847423,dakhla-oued_ed-dahab
2023-06-16,-15.75,23.75,-0.7671541,dakhla-oued_ed-dahab
2023-07-16,-15.75,23.75,-1.915942,dakhla-oued_ed-dahab
2023-08-16,-15.75,23.75,-2.1026785,dakhla-oued_ed-dahab
2023-09-16,-15.75,23.75,-0.32145286,dakhla-oued_ed-dahab
2023-10-16,-15.75,23.75,-2.7042606,dakhla-oued_ed-dahab
2023-11-16,-15.75,23.75,-2.0696175,dakhla-oued_ed-dahab
2023-12-16,-15.75,23.75,-2.3375719,dakhla-oued_ed-dahab
2024-01-16,-15.75,23.75,-2.6849568,dakhla-oued_ed-dahab
2024-02-15,-15.75,23.75,-2.0375018,dakhla-oued_ed-dahab
2024-03-16,-15.75,23.75,-0.59520763,dakhla-oued_ed-dahab
2024-04-16,-15.75,23.75,-1.1387831,dakhla-oued_ed-dahab
2024-05-16,-15.75,23.75,-1.9180517,dakhla-oued_ed-dahab
2024-06-16,-15.75,23.75,-0.26063988,dakhla-oued_ed-dahab
2024-07-16,-15.75,23.75,-0.1474625,dakhla-oued_ed-dahab
2024-08-16,-15.75,23.75,-1.619445,dakhla-oued_ed-dahab
2024-09-16,-15.75,23.75,-0.96022373,dakhla-oued_ed-dahab
2024-10-16,-15.75,23.75,0.16838937,dakhla-oued_ed-dahab
2024-11-16,-15.75,23.75,-2.4297225,dakhla-oued_ed-dahab
2024-12-16,-15.75,23.75,-0.2172628,dakhla-oued_ed-dahab
2000-01-16,-13.25,27.25,1.2353693,laayoune-sakia_el_hamra
2000-02-15,-13.25,27.25,-1.2218426,laayoune-sakia_el_hamra
2000-03-16,-13.25,27.25,-1.867357,laayoune-sakia_el_hamra
2000-04-16,-13.25,27.25,-0.44497284,laayoune-sakia_el_hamra
2000-05-16,-13.25,27.25,0.20316875,laayoune-sakia_el_hamra
2000-06-16,-13.25,27.25,-1.866383,laayoune-sakia_el_hamra
2000-07-16,-13.25,27.25,-0.5300829,laayoune-sakia_el_hamra
2000-08-16,-13.25,27.25,-1.0002049,laayoune-sakia_el_hamra
2000-09-16,-13.25,27.25,-1.3752211,laayoune-sakia_el_hamra
2000-10-16,-13.25,27.25,0.222376,laayoune-sakia_el_hamra
2000-11-16,-13.25,27.25,-0.877127,laayoune-sakia_el_hamra
2000-12-16,-13.25,27.25,-1.3755939,laayoune-sakia_el_hamra
2001-01-16,-13.25,27.25,-1.8362224,laayoune-sakia_el_hamra
2001-02-15,-13.25,27.25,-1.4061975,laayoune-sakia_el_hamra
2001-03-16,-13.25,27.25,-1.878913,laayoune-sakia_el_hamra
2001-04-16,-13.25,27.25,-1.4736145,laayoune-sakia_el_hamra
2001-05-16,-13.25,27.25,-1.1646518,laayoune-sakia_el_hamra
2001-06-16,-13.25,27.25,-2.290443,laayoune-sakia_el_hamra
2001-07-16,-13.25,27.25,-0.54961723,laayoune-sakia_el_hamra
2001-08-16,-13.25,27.25,-1.0486532,laayoune-sakia_el_hamra
2001-09-16,-13.25,27.25,-0.27162662,laayoune-sakia_el_hamra
2001-10-16,-13.25,27.25,-1.4856745,laayoune-sakia_el_hamra
2001-11-16,-13.25,27.25,1.8280135,laayoune-sakia_el_hamra
2001-12-16,-13.25,27.25,-0.3750867,laayoune-sakia_el_hamra
2002-01-16,-13.25,27.25,0.26920882,laayoune-sakia_el_hamra
2002-02-15,-13.25,27.25,-1.5884415,laayoune-sakia_el_hamra
2002-03-16,-13.25,27.25,-0.9556396,laayoune-sakia_el_hamra
2002-04-16,-13.25,27.25,0.38036922,laayoune-sakia_el_hamra
2002-05-16,-13.25,27.25,-0.7610904,laayoune-sakia_el_hamra
2002-06-16,-13.25,27.25,-0.51748747,laayoune-sakia_el_hamra
2002-07-16,-13.25,27.25,0.6725812,laayoune-sakia_el_hamra
2002-08-16,-13.25,27.25,1.4067601,laayoune-sakia_el_hamra
2002-09-16,-13.25,27.25,-0.8929383,laayoune-sakia_el_hamra
2002-10-16,-13.25,27.25,-1.8446312,laayoune-sakia_el_hamra
2002-11-16,-13.25,27.25,-1.1313885,laayoune-sakia_el_hamra
2002-12-16,-13.25,27.25,1.7348999,laayoune-sakia_el_hamra
2003-01-16,-13.25,27.25,1.116868,laayoune-sakia_el_hamra
2003-02-15,-13.25,27.25,-0.023702877,laayoune-sakia_el_hamra
2003-03-16,-13.25,27.25,-1.3935795,laayoune-sakia_el_hamra
2003-04-16,-13.25,27.25,-0.40351248,laayoune-sakia_el_hamra
2003-05-16,-13.25,27.25,-1.7597407,laayoune-sakia_el_hamra
2003-06-16,-13.25,27.25,-1.3022078,laayoune-sakia_el_hamra
2003-07-16,-13.25,27.25,-1.1086398,laayoune-sakia_el_hamra
2003-08-16,-13.25,27.25,-1.0486532,laayoune-sakia_el_hamra
2003-09-16,-13.25,27.25,-2.2242317,laayoune-sakia_el_hamra
2003-10-16,-13.25,27.25,0.7539661,laayoune-sakia_el_hamra
2003-11-16,-13.25,27.25,0.28900692,laayoune-sakia_el_hamra
2003-12-16,-13.25,27.25,-0.40613788,laayoune-sakia_el_hamra
2004-01-16,-13.25,27.25,-0.97853005,laayoune-sakia_el_hamra
2004-02-15,-13.25,27.25,0.5604422,laayoune-sakia_el_hamra
2004-03-16,-13.25,27.25,-0.3585313,laayoune-sakia_el_hamra
2004-04-16,-13.25,27.25,0.7936456,laayoune-sakia_el_hamra
2004-05-16,-13.25,27.25,1.2784114,laayoune-sakia_el_hamra
2004-06-16,-13.25,27.25,-1.866383,laayoune-sakia_el_hamra
2004-07-16,-13.25,27.25,-1.1086398,laayoune-sakia_el_hamra
2004-08-16,-13.25,27.25,-0.49309614,laayoune-sakia_el_hamra
2004-09-16,-13.25,27.25,-0.8418312,laayoune-sakia_el_hamra
2004-10-16,-13.25,27.25,-0.98040515,laayoune-sakia_el_hamra
2004-11-16,-13.25,27.25,0.65120244,laayoune-sakia_el_hamra
2004-12-16,-13.25,27.25,0.7793679,laayoune-sakia_el_hamra
2005-01-16,-13.25,27.25,0.3558712,laayoune-sakia_el_hamra
2005-02-15,-13.25,27.25,2.4128506,laayoune-sakia_el_hamra
2005-03-16,-13.25,27.25,0.21659166,laayoune-sakia_el_hamra
2005-04-16,-13.25,27.25,-1.2547989,laayoune-sakia_el_hamra
2005-05-16,-13.25,27.25,-1.4852456,laayoune-sakia_el_hamra
2005-06-16,-13.25,27.25,-1.6062654,laayoune-sakia_el_hamra
2005-07-16,-13.25,27.25,0.08860802,laayoune-sakia_el_hamra
2005-08-16,-13.25,27.25,-1.0486532,laayoune-sakia_el_hamra
2005-09-16,-13.25,27.25,-1.0922744,laayoune-sakia_el_hamra
